account_id,customer_id,account_type,account_status,open_date,current_balance,currency,credit_limit
53d7691c-4728-4510-8659-d08c3e30c12e,819c2e41-df3f-4484-893d-a5539359dda1,credit card,closed,2022-05-06,33025.81,EUR,46756.2
19c2152a-3468-4929-ac05-b93b9515fa7b,819c2e41-df3f-4484-893d-a5539359dda1,credit card,dormant,2023-06-04,37006.73,EUR,17244.3
5f60e32f-dc28-49a8-880a-284deaf8a188,5e1182c7-536c-4bd5-ba0d-85f586537b3b,checking,active,2024-02-21,87631.06,EUR,0.0
30b09289-f38a-4cc7-b46c-eaa3393fc7f4,7da3811c-fa7a-4e1e-a0ce-6fa0f47d1083,checking,closed,2023-11-17,58630.99,GBP,0.0
62bea0b3-3cb1-42cc-a6e4-bba7d65363c8,38ca0599-f9b8-4cb8-b7ba-e6a2303c075d,savings,active,2020-02-19,6737.28,INR,0.0
2c69fd31-7469-4d35-847a-f365b97b3a2c,85685b56-c150-446d-84ec-f78dab39f409,loan,active,2020-02-04,58019.64,JPY,0.0
c42bc8a4-2d89-4c32-8c87-2188b9ff4d31,85685b56-c150-446d-84ec-f78dab39f409,credit card,closed,2020-06-04,12745.09,JPY,16640.25
407c0bdc-f297-4eaf-81ed-e19e53be64a2,81f27ed6-200b-4072-b5e3-1297b870678a,checking,closed,2017-10-12,44432.99,USD,0.0
bec7b2a6-9a02-47a4-b842-ce1c907731a5,81f27ed6-200b-4072-b5e3-1297b870678a,savings,active,2019-06-30,90702.92,USD,0.0
da349b71-770d-46cf-a69d-1eb88fd44185,c98494ce-5652-4f9e-a06b-f29d55921e9e,loan,active,2024-02-04,98773.57,USD,0.0
879df0a1-5e33-4198-878c-021dac2d351b,025a1570-5216-47d8-add7-7302e75d84b7,checking,dormant,2021-10-24,95998.3,GBP,0.0
b3bbe25e-180f-4cfe-a958-4d4aa1c519ee,35fd3150-5245-4379-8824-0c2520b89c45,loan,dormant,2019-03-25,97497.15,GBP,0.0
dcd50b08-7ee4-4998-82ef-b24bbc4fcc3e,35fd3150-5245-4379-8824-0c2520b89c45,savings,dormant,2024-05-29,35704.46,GBP,0.0
